ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
NaN,204.890455,20791.318981,7.300212,368.516441,564.308654,10.379783,86.990970,2.963135,0
6.648849,181.688122,30733.503838,5.961272,343.925222,257.704179,17.758444,35.296181,4.827527,0
7.442023,194.763871,34565.701690,8.493348,294.836218,350.085116,18.962014,79.958321,2.894651,1
6.931244,207.588953,24359.470414,7.222004,313.819713,477.062975,16.495092,75.041914,4.897957,0
3.716080,129.422921,18630.057858,6.635246,NaN,592.885359,15.180013,56.329076,4.500656,0
NaN,210.979747,21174.408480,7.618885,NaN,572.743407,15.110849,90.252455,4.217553,0
6.559253,164.635921,30660.209666,8.852270,272.524263,533.583858,10.958306,83.662331,4.216315,1
5.602159,264.573515,29860.275777,7.014528,NaN,530.204760,16.030180,29.850948,4.067049,0
8.099124,224.236259,19909.541732,9.275884,NaN,418.606213,16.868637,66.420093,3.055934,0
9.323584,212.710670,15751.175300,5.501070,296.848512,399.773704,10.622265,74.554285,3.006650,0
7.035037,220.501888,19746.493251,7.059383,371.912615,536.183900,15.303433,67.901758,4.557029,1
7.520519,228.562611,22160.819662,7.473799,NaN,545.146650,16.460634,90.944944,4.227766,0
8.316766,214.373394,22018.417441,8.059332,356.886136,363.266516,18.436524,100.341674,4.628771,0
4.581969,186.097915,33897.068202,6.358402,316.552791,406.382378,19.699848,62.323303,4.500208,0
7.880686,226.003844,19486.881839,6.208574,356.338079,472.369094,11.995239,55.029166,3.579984,1
5.582470,172.331584,23512.837957,8.011316,364.483422,452.080765,16.472045,95.045658,4.048113,0
9.092223,181.101509,17978.986339,6.546600,310.135738,398.410813,11.558279,31.997993,4.075075,0
7.884842,229.242660,21733.828044,7.903081,315.189984,368.770894,11.635399,49.804322,4.631641,0
7.498372,236.714399,21736.373324,6.588566,407.312082,299.194245,20.737664,68.314347,4.242242,1
7.992750,193.609138,14610.412832,7.218904,332.468755,468.602998,10.877062,67.181341,4.062907,0
5.584087,188.313324,28748.687739,7.544869,326.678363,280.467916,8.399735,54.917862,2.559708,0
6.168839,238.301048,24827.516641,7.720011,269.490173,482.673327,22.091990,79.169281,4.435760,0
NaN,200.969922,12700.488039,7.713783,395.090364,464.024917,15.089339,63.624565,3.756100,1
8.210358,210.222112,22619.239931,7.567988,NaN,361.614391,14.650190,70.368049,3.716664,0
10.223862,248.071735,28749.716544,7.513408,393.663396,283.651634,13.789695,84.603556,2.672989,0
7.230845,177.574803,17864.689386,5.818229,343.593332,367.689992,19.912950,59.303053,5.622018,0
6.538207,214.992866,12330.406568,7.300092,389.817036,465.352665,22.089402,24.532773,3.426266,1
9.901931,206.746469,13180.677801,5.878835,NaN,426.534807,14.321874,75.408754,4.226950,0
8.635849,203.361523,13672.091764,4.563009,303.309771,474.607645,12.363817,62.798309,4.401425,0
NaN,235.004598,3900.913892,6.938730,286.765101,553.494032,19.418013,84.847740,4.071344,0
6.373288,180.958905,17502.879442,6.471639,367.732520,411.581310,11.598646,NaN,4.538109,1
NaN,191.258655,14064.899155,7.036949,361.154951,399.838662,10.845264,35.582992,3.732339,0
NaN,118.988579,14285.583854,7.804174,268.646941,389.375566,12.706049,53.928846,3.595017,0
8.693104,184.772809,13283.778053,6.521815,348.554792,560.965910,13.978348,71.733845,2.898223,0
5.756476,171.971804,8086.825999,7.304628,330.133777,442.758756,11.364751,95.898495,4.002082,1
9.405875,149.308297,27180.057189,7.867309,NaN,398.806246,17.364706,57.962637,4.033733,0
11.180284,227.231469,25484.508491,9.077200,404.041635,563.885481,17.927806,71.976601,4.370562,0
NaN,194.806091,32981.239456,9.554785,NaN,286.794432,10.415889,71.905147,3.231680,0
6.918062,188.912865,14052.446112,6.192193,NaN,338.320840,17.860101,66.737031,3.566298,1
9.587895,195.837105,11351.861856,6.267476,366.428928,323.794862,13.068242,37.353080,4.666917,0
7.360640,165.520797,32452.614409,7.550701,326.624353,425.383419,15.586810,78.740016,3.662292,0
4.797460,190.315127,21280.246559,6.188503,326.794194,357.436193,11.713821,63.863068,4.038503,0
8.813505,236.392817,40684.390014,6.608775,303.529818,278.355123,14.576057,72.872697,4.242460,1
4.633203,208.908036,29307.128945,6.125585,304.031776,456.214828,10.817158,111.115310,4.751859,0
7.974522,218.693300,18767.656682,8.110385,NaN,364.098230,14.525746,76.485911,4.011718,0
9.319176,199.333565,14294.240350,7.784940,366.051752,338.441450,15.215293,63.391468,4.129230,0
7.361600,231.793183,29169.720783,7.929904,375.097188,389.272645,13.853116,39.532787,3.751589,1
6.901111,154.474092,21103.303188,7.928700,376.001071,450.252974,14.643306,71.321372,3.616498,0
7.119824,156.704993,18730.813653,3.606036,282.344050,347.715027,15.929536,79.500778,3.445756,0
7.581688,180.749140,11989.246243,4.977307,328.176978,617.883513,13.561253,39.215917,4.457282,0
9.175586,281.594235,47852.888871,8.330276,314.783761,422.318227,9.969136,64.070548,2.959685,1
7.795558,136.090677,26484.515316,7.555320,426.500022,471.413356,14.544948,51.491197,3.629252,0
NaN,150.174923,27331.361962,6.838223,299.415781,379.761835,19.370807,76.509996,4.413974,0
5.348214,232.668509,11797.920916,7.816285,312.986753,371.910647,11.975680,65.797023,3.311168,0
NaN,192.742275,32349.102378,8.750630,272.085057,581.981191,13.583036,64.436046,3.952594,1
NaN,215.431919,19909.938849,6.902628,299.086418,371.482911,10.766349,85.267182,4.592538,0
7.496232,205.344982,28388.004887,5.072558,NaN,444.645352,13.228311,70.300213,4.777382,0
5.487876,179.206983,20162.018618,5.211430,305.264142,510.609385,12.588475,58.861558,4.223576,0
6.550877,145.806271,25070.008739,5.716379,285.218943,369.613084,8.654765,NaN,4.824826,1
0.000000,214.846144,49456.587108,7.897539,NaN,583.448849,7.702328,77.712891,4.928840,0
6.347272,186.732881,41065.234765,9.629596,364.487687,516.743282,11.539781,75.071617,4.376348,0
NaN,206.577843,40710.524386,8.813666,320.449328,468.051715,14.523500,71.450447,5.486132,0
6.510856,223.860622,15147.171464,7.667533,389.391148,437.051364,12.085026,52.339075,4.225608,1
