iter	Logloss
0	0.6867610758
1	0.6759138448
2	0.669210502
3	0.6610409078
4	0.6540052067
5	0.6485129811
6	0.6428876916
7	0.6387348877
8	0.6334269407
9	0.6264183216
10	0.6235020411
11	0.620287858
12	0.6172889236
13	0.6150464765
14	0.6108320677
15	0.6080305507
16	0.6042209648
17	0.6011351534
18	0.5984752138
19	0.5959534328
20	0.5931357604
21	0.5887394192
22	0.5851251727
23	0.5820714709
24	0.58011667
25	0.5778430518
26	0.5763455621
27	0.5737590256
28	0.5714480019
29	0.5689520294
30	0.566226999
31	0.5635200681
32	0.5612881119
33	0.5592812921
34	0.5563256957
35	0.5544733574
36	0.552694791
37	0.5510686951
38	0.5497066492
39	0.5473263451
40	0.5443498673
41	0.5419493858
42	0.5401840587
43	0.5383340667
44	0.5354952448
45	0.5340233289
46	0.531211388
47	0.5290366795
48	0.5264947547
49	0.5253386731
50	0.5229346052
51	0.5201013137
52	0.5181412171
53	0.5157226361
54	0.5141877411
55	0.5118395802
56	0.5104062092
57	0.5089193111
58	0.5062825655
59	0.5048753716
60	0.5023674334
61	0.5014138973
62	0.4998590929
63	0.4981530916
64	0.4962954241
65	0.4936398753
66	0.4923021965
67	0.4911838219
68	0.4897798793
69	0.4879885762
70	0.4853608133
71	0.4825755857
72	0.4812791668
73	0.4796935599
74	0.4771735889
75	0.4760363776
76	0.473867099
77	0.472824038
