iter	Passed	Remaining
0	4	4237
1	22	11469
2	26	8802
3	30	7528
4	33	6697
5	37	6188
6	40	5804
7	44	5509
8	48	5302
9	51	5127
10	55	4965
11	58	4817
12	61	4696
13	65	4592
14	68	4512
15	71	4423
16	75	4365
17	78	4298
18	82	4243
19	85	4192
20	88	4138
21	92	4091
22	95	4049
23	98	4010
24	101	3970
25	104	3930
26	108	3901
27	111	3870
28	114	3842
29	117	3815
30	121	3788
31	124	3764
32	127	3741
33	130	3720
34	134	3699
35	137	3682
36	140	3663
37	144	3651
38	147	3632
39	150	3614
40	153	3597
41	157	3583
42	160	3569
43	163	3553
44	166	3541
45	170	3526
46	173	3514
47	176	3502
48	179	3490
49	183	3478
50	186	3466
51	189	3456
52	192	3445
53	196	3434
54	199	3422
55	202	3417
56	206	3410
57	209	3401
58	212	3391
59	215	3381
60	219	3375
61	222	3366
62	225	3356
63	228	3348
64	232	3345
65	236	3341
66	239	3334
67	242	3327
68	246	3321
69	249	3314
70	252	3306
71	255	3299
72	259	3291
73	262	3284
74	265	3277
75	268	3270
76	272	3263
77	275	3255
